2024-09-09 10:59:48,840 INFO    Thread-12 :3795699 [dir_watcher.py:_on_file_created():271] file/dir created: /home/amarinai/DeepLearningThesis/BCFind-v2/bcfind/wandb/run-20240909_105943-e46daxnf/files/wandb-metadata.json
2024-09-09 10:59:49,371 INFO    wandb-upload_0:3795699 [upload_job.py:push():130] Uploaded file /tmp/tmpyd6jz1h0wandb/z4tvfoyk-wandb-metadata.json
2024-09-09 10:59:49,706 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
2024-09-09 10:59:54,707 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
2024-09-09 10:59:55,528 INFO    StreamThr :3795699 [internal.py:wandb_internal():85] W&B internal server running at pid: 3795699, started at: 2024-09-09 10:59:55.527109
2024-09-09 10:59:55,531 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status
2024-09-09 10:59:55,532 INFO    WriterThread:3795699 [datastore.py:open_for_write():87] open: /home/amarinai/DeepLearningThesis/BCFind-v2/bcfind/wandb/run-20240909_105955-qf0wlxwf/run-qf0wlxwf.wandb
2024-09-09 10:59:55,533 DEBUG   SenderThread:3795699 [sender.py:send():378] send: header
2024-09-09 10:59:55,537 DEBUG   SenderThread:3795699 [sender.py:send():378] send: run
2024-09-09 10:59:55,943 INFO    SenderThread:3795699 [dir_watcher.py:__init__():211] watching files in: /home/amarinai/DeepLearningThesis/BCFind-v2/bcfind/wandb/run-20240909_105955-qf0wlxwf/files
2024-09-09 10:59:55,943 INFO    SenderThread:3795699 [sender.py:_start_run_threads():1123] run started: qf0wlxwf with start time 1725872395.525286
2024-09-09 10:59:59,708 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
2024-09-09 11:00:00,538 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: keepalive
2024-09-09 11:00:00,945 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
2024-09-09 11:00:04,709 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
2024-09-09 11:00:05,539 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: keepalive
2024-09-09 11:00:05,946 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
2024-09-09 11:00:09,709 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
2024-09-09 11:00:10,540 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: keepalive
2024-09-09 11:00:10,947 DEBUG   HandlerThread:3795699 [handler.py:handle_request():158] handle_request: status_report
